date,entry_time,exit_time,direction,entry_price,exit_price,qty,r_pts,pnl_pts,pnl_R,pnl_usd,pnl_pct,duration_min,exit_reason,meta
2021-10-29,09:35,09:52,LONG,4569.5000,4579.0000,1.00,9.5000,9.5000,1.0000,475.00,0.000000,17.00,target,strategy=b1b2;target_mult=1.;abr_prev=4.53125;b1_range=9.;b2_follow=good
2021-11-04,09:35,09:40,SHORT,4654.7500,4659.5000,1.00,4.7500,-4.7500,-1.0000,-237.50,0.000000,5.00,stop,strategy=b1b2;target_mult=1.;abr_prev=3.65625;b1_range=4.25;b2_follow=poor
2021-11-11,09:35,10:43,SHORT,4651.7500,4651.7500,1.00,6.0000,0.0000,0.0000,0.00,0.000000,68.00,stop,strategy=b1b2;target_mult=2.;abr_prev=5.;b1_range=5.5;b2_follow=good
2021-11-12,09:35,09:36,SHORT,4652.0000,4647.2500,1.00,4.7500,4.7500,1.0000,237.50,0.000000,1.00,target,strategy=b1b2;target_mult=1.;abr_prev=2.75;b1_range=4.25;b2_follow=good
2021-11-16,09:35,09:38,LONG,4683.2500,4691.2500,1.00,8.0000,8.0000,1.0000,400.00,0.000000,3.00,target,strategy=b1b2;target_mult=1.;abr_prev=3.6875;b1_range=7.5;b2_follow=good
2021-11-18,09:35,10:10,SHORT,4690.5000,4682.5000,1.00,8.0000,8.0000,1.0000,400.00,0.000000,35.00,target,strategy=b1b2;target_mult=1.;abr_prev=3.09375;b1_range=7.5;b2_follow=poor
2021-11-22,09:35,09:49,LONG,4719.0000,4726.2500,1.00,7.2500,7.2500,1.0000,362.50,0.000000,14.00,target,strategy=b1b2;target_mult=1.;abr_prev=3.40625;b1_range=6.75;b2_follow=good
2021-11-23,09:35,09:42,SHORT,4669.2500,4681.7500,1.00,12.5000,-12.5000,-1.0000,-625.00,0.000000,7.00,stop,strategy=b1b2;target_mult=1.;abr_prev=7.5625;b1_range=12.;b2_follow=poor
2021-12-09,09:35,09:56,LONG,4690.7500,4682.2500,1.00,8.5000,-8.5000,-1.0000,-425.00,0.000000,21.00,stop,strategy=b1b2;target_mult=1.;abr_prev=3.6875;b1_range=8.;b2_follow=good
2021-12-10,09:35,09:45,LONG,4701.0000,4693.2500,1.00,7.7500,-7.7500,-1.0000,-387.50,0.000000,10.00,stop,strategy=b1b2;target_mult=2.;abr_prev=5.5625;b1_range=7.25;b2_follow=good
2022-01-03,09:35,09:47,LONG,4781.5000,4771.5000,1.00,10.0000,-10.0000,-1.0000,-500.00,0.000000,12.00,stop,strategy=b1b2;target_mult=1.;abr_prev=5.15625;b1_range=9.5;b2_follow=good
2022-01-06,09:35,09:46,LONG,4699.5000,4699.5000,1.00,14.5000,0.0000,0.0000,0.00,0.000000,11.00,stop,strategy=b1b2;target_mult=1.;abr_prev=8.25;b1_range=14.;b2_follow=good
2022-01-28,09:35,10:59,SHORT,4302.7500,4336.7500,1.00,34.0000,-34.0000,-1.0000,-1700.00,0.000000,84.00,stop,strategy=b1b2;target_mult=1.;abr_prev=13.46875;b1_range=33.5;b2_follow=good
2022-02-15,09:35,12:48,LONG,4455.7500,4438.5000,1.00,17.2500,-17.2500,-1.0000,-862.50,0.000000,193.00,stop,strategy=b1b2;target_mult=1.;abr_prev=9.;b1_range=16.75;b2_follow=good
2022-02-25,09:35,09:57,LONG,4313.2500,4288.2500,1.00,25.0000,-25.0000,-1.0000,-1250.00,0.000000,22.00,stop,strategy=b1b2;target_mult=1.;abr_prev=12.15625;b1_range=24.5;b2_follow=poor
2022-03-01,09:35,09:52,LONG,4365.7500,4351.7500,1.00,14.0000,-14.0000,-1.0000,-700.00,0.000000,17.00,stop,strategy=b1b2;target_mult=2.;abr_prev=10.8125;b1_range=13.5;b2_follow=good
2022-03-16,09:35,09:46,LONG,4309.7500,4328.2500,1.00,9.2500,18.5000,2.0000,925.00,0.000000,11.00,target,strategy=b1b2;target_mult=2.;abr_prev=6.65625;b1_range=8.75;b2_follow=good
2022-03-21,09:35,09:54,LONG,4467.0000,4451.0000,1.00,16.0000,-16.0000,-1.0000,-800.00,0.000000,19.00,stop,strategy=b1b2;target_mult=1.;abr_prev=6.9375;b1_range=15.5;b2_follow=good
2022-03-24,09:35,09:42,SHORT,4459.0000,4468.7500,1.00,9.7500,-9.7500,-1.0000,-487.50,0.000000,7.00,stop,strategy=b1b2;target_mult=2.;abr_prev=6.21875;b1_range=9.25;b2_follow=good
2022-04-07,09:35,09:45,LONG,4473.5000,4473.5000,1.00,11.2500,0.0000,0.0000,0.00,0.000000,10.00,stop,strategy=b1b2;target_mult=2.;abr_prev=9.0625;b1_range=10.75;b2_follow=good
2022-04-19,09:42,09:52,LONG,4397.7500,4410.7500,1.00,13.0000,13.0000,1.0000,650.00,0.000000,10.00,target,strategy=b1b2;target_mult=1.;abr_prev=7.9375;b1_range=12.5;b2_follow=poor
2022-04-21,09:35,10:08,LONG,4507.2500,4494.0000,1.00,13.2500,-13.2500,-1.0000,-662.50,0.000000,33.00,stop,strategy=b1b2;target_mult=1.;abr_prev=9.15625;b1_range=12.75;b2_follow=poor
2022-04-26,09:35,09:49,SHORT,4257.0000,4257.0000,1.00,10.7500,0.0000,0.0000,0.00,0.000000,14.00,stop,strategy=b1b2;target_mult=1.;abr_prev=9.21875;b1_range=10.25;b2_follow=poor
2022-04-28,09:35,10:01,SHORT,4217.2500,4196.2500,1.00,21.0000,21.0000,1.0000,1050.00,0.000000,26.00,target,strategy=b1b2;target_mult=1.;abr_prev=12.875;b1_range=20.5;b2_follow=good
2022-05-06,09:35,09:47,SHORT,4105.0000,4068.0000,1.00,18.5000,37.0000,2.0000,1850.00,0.000000,12.00,target,strategy=b1b2;target_mult=2.;abr_prev=17.40625;b1_range=18.;b2_follow=good
2022-05-19,09:36,09:46,LONG,3909.0000,3886.7500,1.00,22.2500,-22.2500,-1.0000,-1112.50,0.000000,10.00,stop,strategy=b1b2;target_mult=1.;abr_prev=13.0625;b1_range=21.75;b2_follow=good
2022-05-25,09:35,10:19,LONG,3941.2500,3961.2500,1.00,20.0000,20.0000,1.0000,1000.00,0.000000,44.00,target,strategy=b1b2;target_mult=1.;abr_prev=11.5;b1_range=19.5;b2_follow=good
2022-05-26,09:35,09:52,LONG,4006.2500,4025.2500,1.00,19.0000,19.0000,1.0000,950.00,0.000000,17.00,target,strategy=b1b2;target_mult=1.;abr_prev=7.9375;b1_range=18.5;b2_follow=good
